character,dialogue,episode,line
Bartender,We don't serve their kind here!,4,326
Luke,What?,4,327
Bartender,Your droids. They'll have to wait outside.  We don't want them here.,4,328
Luke,"Listen, why don't you wait out by the speeder.  We don't want any trouble.",4,329
Threepio,I heartily agree with you sir.,4,330
Creature,Negola dewaghi wooldugger?!?,4,331
Human,He doesn't like you.,4,332
Luke,I'm sorry.,4,333
Human,I don't like you either,4,334
Human,Don't insult us.  You just watch yourself.  We're wanted men.  I have the death sentence on twelve systems.,4,335
Luke,I'll be careful than.,4,336
Human,You'll be dead.,4,337
Ben,This little one isn't worth the effort.  Come let me buy you something...,4,338
Bartender,No blasters!  No blaster!,4,339
Ben,This is Chewbacca.  He's first-mate on a ship that might suit our needs.,4,340
Threepio,I don't like the look of this.,4,341
Han,Han Solo.  I'm captain of the Millennium Falcon.  Chewie here tells me you're looking for passage to the Alderaan system.,4,342
Ben,"Yes, indeed.  If it's a fast ship.",4,343
Han,Fast ship?  You've never heard of the Millennium Falcon?,4,344
Ben,Should I have?,4,345
Han,It's the ship that made the Kessel run in less than twelve parsecs!,4,346
Han,"I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?",4,347
Ben,"Only passengers.  Myself, the boy, two droids, and no questions asked.",4,348
Han,What is it?  Some kind of local trouble?,4,349
Ben,Let's just say we'd like to avoid any Imperial entanglements.,4,350
Han,"Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance.",4,351
Luke,Ten thousand?  We could almost buy our own ship for that!,4,352
Han,"But who's going to fly it, kid!  You?",4,353
Luke,You bet I could.  I'm not such a bad pilot myself!  We don't have to sit here and listen...,4,354
Ben,"We haven't that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan.",4,355
Han,"Seventeen, huh!",4,356
Han,Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.,4,357
Ben,Ninety-four.,4,358
Han,Looks like somebody's beginning to take an interest in your handiwork.,4,359
Trooper,"All right, we'll check it out.",4,360
Han,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.,4,361
Ben,You'll have to sell your speeder.,4,362
Luke,That's okay.  I'm never coming back to this planet again.,4,363
Greedo,"Going somewhere, Solo?",4,364
Han,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that I've got his money.",4,365
Greedo,"It's too late.  You should have paid him when you had the chance.  Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  I'm lucky I found you first.",4,366
Han,"Yeah, but this time I got the money.",4,367
Greedo,"If you give it to me, I might forget I found you.",4,368
Han,I don't have it with me.  Tell Jabba...,4,369
Greedo,Jabba's through with you.  He has no time for smugglers who drop their shipments at the first sign of an Imperial cruiser.,4,370
Han,Even I get boarded sometimes.  Do you think I had a choice?,4,371
Greedo,You can tell that to Jabba.  He may only take your ship.,4,372
Han,Over my dead body.,4,373
Greedo,That's the idea I've been looking forward to killing you for a long time.,4,374
Han,"Yes, I'll bet you have.",4,375
Han,Sorry about the mess.,4,376
Vader,Her resistance to the mind probe is considerable.  It will be some time before we can extract any information from her.,4,377
Imperial Officer,The final check-out is complete.  All systems are operational.  What course shall we set?,4,378
Tarkin,Perhaps she would respond to an alternative form of persuasion.,4,379
